"Parameter","expA","expB_N10","expB_N30","expB_N100","expC_noise1","expC_noise5","expC_noise10"
"experiment","expA","expB_N10","expB_N30","expB_N100","expC_noise1","expC_noise5","expC_noise10"
"T_true","5800","5800","5800","5800","3000","3000","3000"
"N","20","10","30","100","30","30","30"
"pattern","uniform","uniform","uniform","uniform","uniform","uniform","uniform"
"noise_alpha","0.05","0.05","0.05","0.05","0.01","0.05","0.1"
"lam_max_true_um","0.4996158543103448","0.4996158543103448","0.4996158543103448","0.4996158543103448","0.965923985","0.965923985","0.965923985"
"lam_max_cubic_um","0.4933022127775835","0.5142173696828921","0.4326382284894676","0.48875915727734764","0.947544888647095","0.8237984371097251","0.7855880321705768"
"lam_max_smooth_um","0.5001399437739333","0.5098910963604328","0.4404247986211392","0.48513582778708936","0.9866321981724827","0.8721244619143081","0.7879422000874339"
"lam_max_planck_um","0.49232448419704994","0.5097641335610688","0.4968564742008925","0.5024133750242336","0.9661119656635716","0.9668980822174654","0.9680180227018041"
"T_cubic_wien","5874.23263050824","5635.305467777177","6697.91008787506","5928.834093139358","3058.189632722773","3517.573989538941","3688.666115487359"
"T_smooth_wien","5793.922263305194","5683.119347806021","6579.493171302354","5973.114721742917","2937.03363864212","3322.65872767679","3677.6453332217125"
"T_planck_fit","5885.898524275271","5684.534796037887","5832.211323522681","5767.704641342854","2999.4162767766493","2996.977663203453","2993.5103345618727"
"area_true_partial","19996496.520360127","19996496.520360127","19996496.520360127","19996496.520360127","1416452.7182010347","1416452.7182010347","1416452.7182010347"
"area_cubic","20014947.415294882","20267149.752759494","19981124.087363087","20104138.575200047","1417479.4789144278","1417182.3660040775","1417333.3600556548"
"area_smooth","19852677.007184148","20616666.597721525","19902616.235615153","20096242.593993768","1414385.918922238","1414722.1765101077","1411783.2143083957"
"area_planck","19614314.22987288","19925520.37158321","19554990.1717737","20215321.40370537","1412052.0895324792","1394463.783065866","1372599.3581270769"
"bs_cubic_mean","","","","","","",""
"bs_cubic_std","","","","","","",""
"bs_cubic_pinf","","","","","","",""
"bs_cubic_psup","","","","","","",""
"bs_smooth_mean","6670481.07339728","7620172.476877052","6362431.004553415","","473508.1992631223","470080.8169056986","439935.6093319449"
"bs_smooth_std","10569723.495406963","12321098.905457612","9186846.542278863","","671696.3053302303","668729.1883578115","660606.0906061052"
"bs_smooth_pinf","3.7726132772857976e-07","3.7813363232515187e-07","2.2863743242387283e-07","","9.500076856470039e-07","5.501278583557015e-07","4.811533652373751e-07"
"bs_smooth_psup","32881978.11310306","37039134.40711504","21270056.197212946","","1453558.2276727848","1514472.5769897862","1595823.9844196131"
"bs_planck_mean","6487003.020523888","45268875.11236675","6513967.8734957175","6736345.088738168","471559.70645858726","465401.5495270507","458268.2465775398"
"bs_planck_std","9208084.983901026","397596598.7236586","9249774.097015055","9563028.194539037","667561.8945257327","658972.5066939002","649291.7744306963"
"bs_planck_pinf","4.751811202019802e-07","3.009985664801534e-07","4.89484148461874e-07","4.981858420738878e-07","9.62863980770683e-07","9.501782323384603e-07","9.342564767625782e-07"
"bs_planck_psup","20513072.308589146","46422006.35214368","20070308.15139824","20435929.988235287","1418333.6854789546","1425859.2218760294","1435271.6291596282"
