;expA;expB;;;expC;;
experiment;expA;expB_N10;expB_N30;expB_N100;expC_noise1;expC_noise5;expC_noise10
T_true;5800;5800;5800;5800;3000;3000;3000
N;20;10;30;100;30;30;30
pattern;uniform;uniform;uniform;uniform;uniform;uniform;uniform
noise_alpha;0.050;0.050;0.050;0.050;0.010;0.050;0.100
lam_max_true_um;0.500;0.500;0.500;0.500;0.966;0.966;0.966
lam_max_cubic_um;0.493;0.514;0.433;0.489;0.948;0.824;0.786
lam_max_smooth_um;0.500;0.510;0.440;0.485;0.987;0.872;0.788
lam_max_planck_um;0.492;0.510;0.497;0.502;0.966;0.967;0.968
T_cubic_wien;5,874.233;5,635.305;6,697.910;5,928.834;3,058.190;3,517.574;3,688.666
T_smooth_wien;5,793.922;5,683.119;6,579.493;5,973.115;2,937.034;3,322.659;3,677.645
T_planck_fit;5,885.899;5,684.535;5,832.211;5,767.705;2,999.416;2,996.978;2,993.510
area_true_partial;19,996,496.520;19,996,496.520;19,996,496.520;19,996,496.520;1,416,452.718;1,416,452.718;1,416,452.718
area_cubic;20,014,947.415;20,267,149.753;19,981,124.087;20,104,138.575;1,417,479.479;1,417,182.366;1,417,333.360
area_smooth;19,852,677.007;20,616,666.598;19,902,616.236;20,096,242.594;1,414,385.919;1,414,722.177;1,411,783.214
area_planck;19,614,314.230;19,925,520.372;19,554,990.172;20,215,321.404;1,412,052.090;1,394,463.783;1,372,599.358
